"Käetty, Aura";"";"";"60.58993";"22.518737";"Suomi";"1"
"Königsberg";"";"Kaliningrad";"54.706376";"20.512036";"Venäjä";"1"
"Köpenhamn";"Slott";"";"55.67557";"12.579086";"Tanska";"20"
"Köpenhamn";"";"";"55.676097";"12.568337";"Tanska";"30"
"Köping";"";"";"59.512096";"15.99451";"Ruotsi";"1"
"Lagmansryd";"";"";"57.008921";"14.160307";"Ruotsi";"1"
"Lagunzberg";"";"Landsberga";"59.741516";"17.180513";"Ruotsi";"1"
"Laholm";"";"";"56.505756";"13.045605";"Ruotsi";"1"
"Lammais, Nakkila";"";"";"61.337641";"22.085927";"Suomi";"3"
"Lampis";"";"";"61.077539";"25.010983";"Suomi";"4"
"Lankila, Virmo";"";"";"60.67848";"21.988702";"Suomi";"2"
"Lappi";"";"";"61.101388";"21.844444";"Suomi";"1"
"Lappvesi";"";"";"61.063583";"28.263933";"Suomi";"3"
"Lateranen, Rom";"";"";"41.886646";"12.505744";"Italia";"21"
"Laukko, Vesilax";"Gård";"";"61.331667";"23.513333";"Suomi";"3"
"Lehijärvi, Hattula";"";"";"61.044737";"24.312165";"Suomi";"3"
"Leipzig";"";"";"51.339695";"12.373075";"Saksa";"2"
"Lemland";"";"";"60.067968";"20.10149";"Suomi";"2"
"Lempäälä";"";"";"61.314111";"23.752448";"Suomi";"1"
"Lepistö, Virmo";"";"";"60.686904";"21.96325";"Suomi";"1"
"Levojärvi, Borgå";"";"";"60.383478";"25.748589";"Suomi";"1"
"Lindholmen";"Slott";"";"55.496944";"13.298333";"Ruotsi";"1"
"Linköping";"";"";"58.410807";"15.621373";"Ruotsi";"18"
"Liuksiala, Kangasala";"";"";"61.441299";"24.043197";"Suomi";"1"
"Liuskallio, Virmo";"";"";"60.67696";"21.959956";"Suomi";"1"
"Lodi";"";"";"45.309723";"9.503716";"Italia";"1"
"Lojo";"Kyrka";"";"60.252922";"24.068007";"Suomi";"1"
"Lojo";"";"";"60.251176";"24.067471";"Suomi";"10"
