issue_place_raw,n_charters
Borgen København,1
Borgen Rendsborg,1
Borgen Schwerin,1
Borgen Segeberg,1
Borgen Varberg,1
Borgen Viborg,1
Borgen Wenden,1
Borgen Wolde,1
Borgen Wolgast,1
Borgen i Kalmar,1
Borgen i Salon,1
Borgen i Skanør,1
Borgen i Tønder,1
Borgen på Bornholm,1
Borgen Åhus,1
Borgholm,1
Borgå,1
Borrby,1
Borringe,1
Bourges,1
Bov,1
Brattian,1
Brede kirke,1
Breitenfeld,1
Bridgnorth,1
Broager,1
Broby,1
Brockenhurst,1
Brunnby,1
Brunsbüttel,1
Brunsvig,1
Brünn,1
Budapest (Ofen),1
Bukow,1
Burg,1
Bursø,1
Bydictun,1
Byfleet,1
Bysta,1
Bytinget i Lund,1
Bäckeryd,1
Bårse herredsting,1
Bönhof,1
Bølling herredsting,1
Børglum,1
Børglum herredsting,1
Børglum kloster,1
Büchen,1
Calais,1
Cambrai,1
Cambridge,1
Cammin,1
Canterbury,1
Capua,1
Catin,1
Champlitte,1
Chartres,1
Christburg,1
Cismar,1
Civitavecchia,1
Clovesho,1
Colbaz,1
Cosne,1
Dalaborg,1
Dalby kloster,1
Daler,1
Daneholm,1
Dassow,1
Delmenhorst,1
Demstrup,1
Den lille borg i Reval,1
Des Fossés,1
Divitz,1
Djurs Nørre herreds ting,1
Djurs Nørre herredsting,1
Djurs Sønder herredsting,1
Domkirken i Hamburg,1
Domkirken i Lübeck,1
Domkirken i Napoli,1
Domnau,1
Dordrecht,1
Douzy,1
Dover,1
Draftinge,1
Dragør,1
Driesen,1
Dueholm,1
Dyrs Sønderherredsting,1
Eberswalde,1
Edinburgh,1
Edoms herred,1
Edoms herredsting,1
Edsviken,1
Efter Faenza,1
Egede,1
Eger,1
Eggeslev(magle),1
Egholm,1
Ehrenfels,1
Eilenburg,1
Einbeck,1
Ejlstrup,1
Ekesjö,1
Elbing.,1
Elbogen,1
Elfsborg,1
Emmerich,1
Engestofte,1
Eresborg,1
Erfurt,1
Esrom kloster,1
Eutin bispegård,1
Falsterbo byting,1
Fannerup,1
Farvandet ud for Lollands albue,1
Fastarby,1
Faurholt,1
Faxaholm,1
Feltlejren i Kisdy an der Theiss,1
Feltlejren ved floden Theiss,1
Fismes,1
Fjälkestad,1
Fjärås kirke,1
Flakkebjerg,1
Flakkebjærg herredsting,1
