navn,name_base,art,layers,n_units,n_versions,earliest_fra,latest_til,ambiguous,spread_km,lat,lon,candidates
Tingsted Ejerlav,Tingsted,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,54.813116,11.910443,
Tingsted Pastorat,Tingsted,Pastorat,Pastorat,1,5,1770-07-02,1924-07-01,no,0.0,54.814596,11.889416,
Tingsted Sogn,Tingsted,Sogn,Sogn,1,7,1000-01-01,9999-12-31,no,0.0,54.814596,11.889416,
Tingsted Sognekommune,Tingsted,Sognekommune,Sognekommune,1,2,1842-01-01,1970-03-31,no,0.0,54.81646,11.892506,
Tingstrup Ejerlav,Tingstrup,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,56.967359,8.666113,
Tingtved Ejerlav,Tingtved,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.69372,11.661201,
Tinnet Enge Ejerlav,Tinnet Enge,Ejerlav,Ejerlav,1,1,1791-07-02,9999-12-31,no,0.0,55.845309,9.510306,
Tinning Ejerlav,Tinning,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,56.267652,9.980998,
Tipperne Ejerlav,Tipperne,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.883769,8.218014,
Tirsbæk Birk,Tirsbæk,Birk,Birk,1,1,1000-01-01,1799-04-12,no,0.0,55.732115,9.631448,
Tirsbæk Ejerlav,Tirsbæk,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.720823,9.636019,
Tirslund Afstemningsområde,Tirslund,Sønderjysk afstemningsområde,Soenderjysk_afstemningsomraade,1,1,1920-01-10,1920-01-10,no,0.0,55.207782,9.145162,
Tirslund Ejerlav,Tirslund,Ejerlav,Ejerlav,3,9,1000-01-01,9999-12-31,yes,32.2,,,"131682@55.4884,8.9507 | 131698@55.4759,8.9385 | 132413@55.2078,9.1452"
Tirslund Sogn,Tirslund,Sogn,Sogn,1,2,1000-01-01,9999-12-31,no,0.0,55.211171,9.12048,
Tirsted Sogn,Tirsted,Sogn,Sogn,1,4,1000-01-01,9999-12-31,no,0.0,54.727071,11.349643,
Tirsted-Skørringe-Vejleby Sognekommune,Tirsted-Skørringe-Vejleby,Sognekommune,Sognekommune,1,3,1842-01-01,1970-03-31,no,0.0,54.747123,11.356132,
Tirstrup Ejerlav,Tirstrup,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,56.298323,10.690265,
Tirstrup Sogn,Tirstrup,Sogn,Sogn,1,2,1000-01-01,9999-12-31,no,0.0,56.302357,10.688718,
Tirstrup-Fuglslev Pastorat,Tirstrup-Fuglslev,Pastorat,Pastorat,1,1,1770-07-02,1924-07-01,no,0.0,56.291285,10.702835,
Tirstrup-Fuglslev Sognekommune,Tirstrup-Fuglslev,Sognekommune,Sognekommune,1,3,1842-01-01,1970-03-31,no,0.0,56.291002,10.70287,
Tirstrup-Fuglslev-Nødager Pastorat,Tirstrup-Fuglslev-Nødager,Pastorat,Pastorat,1,3,1968-03-01,9999-12-31,no,0.0,56.308223,10.666814,
Tirsvad Ejerlav,Tirsvad,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.949801,9.508267,
Tise Ejerlav,Tise,Ejerlav,Ejerlav,1,4,1000-01-01,9999-12-31,no,0.0,57.298676,9.803398,
Tise Sogn,Tise,Sogn,Sogn,1,4,1000-01-01,9999-12-31,no,0.0,57.268694,9.80554,
Tiselholt Ejerlav,Tiselholt,Ejerlav,Ejerlav,2,2,1000-01-01,9999-12-31,no,0.96,55.091902,10.75111,
Tiset Afstemningsområde,Tiset,Sønderjysk afstemningsområde,Soenderjysk_afstemningsomraade,1,1,1920-01-10,1920-01-10,no,0.0,55.269409,9.01054,
Tiset Ejerlav,Tiset,Ejerlav,Ejerlav,2,6,1000-01-01,9999-12-31,yes,55.89,,,"132276@55.2694,9.0106 | 130295@56.0623,10.1058"
