issue_place_raw,n_charters
”Locana”/”Locena”,1
Fit,1
Mölnoklint,1
(Dalaborg eller Bohus),1
(Bohus) (”Bawahuss” enl. A 1),1
(Almar)Stäk[et],1
(Iserlohn),1
”Ryslo ting”,1
Berg i Leksands socken,1
Snevringe hundares tingsplats,1
”Hvitarör” (= Vittaryd),1
Slättemo tingställe,1
”Filungshed”,1
Ramsta,1
”in Curia Sekkis”,1
Metz,1
”Slætamo”,1
Allaby,1
”Slættamo” ting,1
Främby vid Kopparberget,1
Kemberg,1
[Dala-]Husaby,1
Håksvik,1
"Rom, Vatikanen",1
Skede (Bohuslän),1
Söderberke,1
"Edsleskog, tinget",1
Rome apud S. Petrum,1
”Boosathorp” (Bosarp),1
”Järfslad”,1
Slättamo ting,1
”Salista”,1
Satanäs i Västergötland,1
Berga i Åkers socken,1
”Klingisbodha” (Klingsbo),1
Gdanczk (=Danzig),1
”Hersama” (=Häradshammar),1
Säkyla by,1
Högnalöf,1
"”Hinine” (=Henene), häradstinget i Kåkind",1
Hjälmseryds kyrka,1
Räntäkäki kyrka,1
”Habolstorp”,1
”Egguini”,1
Snevringe härads tingställe,1
”Ræptigle”,1
Hage,1
”Æmpnisholm” - se nedan,1
Snevringes hundares tingsplats,1
Mariuborgh,1
Sinnerstad,1
”Hakaas” Hackås,1
Lüb[eck],1
Warne,1
Torsåkers hundarting,1
”Comorsko”,1
Hamneda ting,1
Gunsta,1
Djuvarp,1
Kolhammar,1
(Kolhammar),1
"Högs kyrka, Hälsingland",1
”Palpelin”,1
"Bro kyrka,Stångenäs",1
Gullogrind i Kumla socken,1
Konungsberg1,1
”Bredhastadha”,1
Klevsta,1
”Lästa”; ”in placito iusticiarum”,1
”Wekelax”,1
”Syoarars”,1
på Kopparberget,1
Toftnäs (Småland),1
”Sighersöö”,1
Habo hundares tingsplats,1
Folklands[ting],1
Folklandsting - se nedan,1
Lö(döse),1
”Hjertanäs”,1
”Ethegi”,1
Aachen,1
Finnkumla,1
”Höfröne” gård,1
Skara på rättaretinget,1
Sala,1
Kils kyrka,1
Edsholms slott,1
