toraid;tora_prefLabel;tora_altLabel;parish;hundred;tora_province;note;tora_note;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;tora_coordinate_accuracy;tora_source;tora_source_url;toraid_url
4654;Tyrtorp;;Godegård;Bråbo h:d;Östergötland;;;6509823.2500;507858.5819;58.7284;15.1357;high;D3:245;https://sok.riksarkivet.se/bildvisning/R0000160_00171;https://sok.riksarkivet.se/topografi/4654
4655;Elmeshult;;Godegård;Bråbo h:d;Östergötland;;se även HK;6510940.3125;508602.8639;58.7385;15.1486;middle;D3:243;https://sok.riksarkivet.se/bildvisning/R0000160_00170;https://sok.riksarkivet.se/topografi/4655
4656;Mellantorp;;Godegård;Bråbo h:d;Östergötland;;;6510630.0877;507459.635;58.7357;15.1289;high;D3:245;https://sok.riksarkivet.se/bildvisning/R0000160_00171;https://sok.riksarkivet.se/topografi/4656
4657;Bondlycka;;Godegård;Bråbo h:d;Östergötland;;se även HK;6510207.2993;508248.3033;58.7319;15.1425;high;D3:246;https://sok.riksarkivet.se/bildvisning/R0000160_00172;https://sok.riksarkivet.se/topografi/4657
4658;Axhult;;Godegård;Bråbo h:d;Östergötland;;;6509479.7000;506905.6507;58.7254;15.1192;high;D3:248;https://sok.riksarkivet.se/bildvisning/R0000160_00173;https://sok.riksarkivet.se/topografi/4658
4659;Hälla;;Godegård;Bråbo h:d;Östergötland;;;6510391.2428;508879.9301;58.7335;15.1534;high;D3:248;https://sok.riksarkivet.se/bildvisning/R0000160_00173;https://sok.riksarkivet.se/topografi/4659
4660;Godegård;Godegårds kyrka;Godegård;Bråbo h:d;Östergötland;;;6509982.7718;508969.5813;58.7299;15.1549;high;D3:248;https://sok.riksarkivet.se/bildvisning/R0000160_00173;https://sok.riksarkivet.se/topografi/4660
4661;Söderby;;Godegård;Bråbo h:d;Östergötland;;se även HK;6509690.8602;508862.1067;58.7272;15.153;high;D3:248;https://sok.riksarkivet.se/bildvisning/R0000160_00173;https://sok.riksarkivet.se/topografi/4661
4662;Dalstorp;Unna;Godegård;Bråbo h:d;Östergötland;ISOF;;6511418.6814;509199.6782;58.7428;15.1589;high;D3:249;https://sok.riksarkivet.se/bildvisning/R0000160_00174;https://sok.riksarkivet.se/topografi/4662
4663;Östra Rödja;Södra Rödja;Godegård;Bråbo h:d;Östergötland;;se även HK;6506283.6908;506753.1594;58.6967;15.1165;high;D3:254;https://sok.riksarkivet.se/bildvisning/R0000160_00177;https://sok.riksarkivet.se/topografi/4663
4664;Västra Rödja;;Godegård;Bråbo h:d;Östergötland;;;6506984.7006;505681.4743;58.703;15.098;high;D3:254;https://sok.riksarkivet.se/bildvisning/R0000160_00177;https://sok.riksarkivet.se/topografi/4664
4665;Torshult;;Godegård;Bråbo h:d;Östergötland;;;6507248.0203;503747.9832;58.7054;15.0647;high;D3:251;https://sok.riksarkivet.se/bildvisning/R0000160_00175;https://sok.riksarkivet.se/topografi/4665
4666;Dammetorp;;Godegård;Bråbo h:d;Östergötland;;;6510072.2680;504317.0545;58.7307;15.0746;high;D3:251;https://sok.riksarkivet.se/bildvisning/R0000160_00175;https://sok.riksarkivet.se/topografi/4666
4667;Svenshult;Svenskhult;Godegård;Bråbo h:d;Östergötland;;;6513043.4671;504925.8195;58.7574;15.0851;high;D3:251;https://sok.riksarkivet.se/bildvisning/R0000160_00175;https://sok.riksarkivet.se/topografi/4667
4668;Svartebäcken;;Godegård;Bråbo h:d;Östergötland;;;6507203.4908;502868.9826;58.705;15.0495;high;D3:255;https://sok.riksarkivet.se/bildvisning/R0000160_00178;https://sok.riksarkivet.se/topografi/4668
4669;Hovmanhult;Hult;Godegård;Bråbo h:d;Östergötland;;;6506016.6588;504911.1426;58.6943;15.0847;high;D3:255;https://sok.riksarkivet.se/bildvisning/R0000160_00178;https://sok.riksarkivet.se/topografi/4669
4670;Grönberg;;Godegård;Bråbo h:d;Östergötland;;;6508778.6280;504410.9769;58.7191;15.0762;high;D3:252;https://sok.riksarkivet.se/bildvisning/R0000160_00176;https://sok.riksarkivet.se/topografi/4670
4671;Karlsby;;Kristberg;Aska h:d;Östergötland;;;6499573.8536;508431.9376;58.6364;15.1452;high;D5:275;https://sok.riksarkivet.se/bildvisning/R0000162_00148;https://sok.riksarkivet.se/topografi/4671
4672;Härseby;;Kristberg;Aska h:d;Östergötland;;;6493458.5934;507791.4024;58.5815;15.134;high;D5:276-277;https://sok.riksarkivet.se/bildvisning/R0000162_00149;https://sok.riksarkivet.se/topografi/4672
4673;Kulla;;Kristberg;Aska h:d;Östergötland;;;6493350.3203;509185.2923;58.5805;15.158;high;D5:276-277;https://sok.riksarkivet.se/bildvisning/R0000162_00149;https://sok.riksarkivet.se/topografi/4673
4674;Skrukarp;;Kristberg;Aska h:d;Östergötland;;;6492865.7017;509502.192;58.5761;15.1634;high;D5:276-277;https://sok.riksarkivet.se/bildvisning/R0000162_00149;https://sok.riksarkivet.se/topografi/4674
4675;Kvarngård;;Kristberg;Aska h:d;Östergötland;;;6497607.4361;510762.8702;58.6187;15.1853;high;D5:278-279;https://sok.riksarkivet.se/bildvisning/R0000162_00150;https://sok.riksarkivet.se/topografi/4675
4676;Koppartorp;;Kristberg;Aska h:d;Östergötland;;;6496373.1694;507716.5609;58.6077;15.1328;low;D5:278-279;https://sok.riksarkivet.se/bildvisning/R0000162_00150;https://sok.riksarkivet.se/topografi/4676
4677;Hållingstorp;;Kristberg;Aska h:d;Östergötland;;;6493835.0325;510613.6919;58.5848;15.1825;low;D5:278-279;https://sok.riksarkivet.se/bildvisning/R0000162_00150;https://sok.riksarkivet.se/topografi/4677
4678;Storeberg;;Kristberg;Aska h:d;Östergötland;;;6492833.0578;510788.2097;58.5758;15.1855;high;D5:280-281;https://sok.riksarkivet.se/bildvisning/R0000162_00151;https://sok.riksarkivet.se/topografi/4678
4679;Bråta;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6492163.5508;512823.8956;58.5697;15.2205;high;D8:64, Norrby:80;https://sok.riksarkivet.se/bildvisning/R0000165_00044, https://sok.riksarkivet.se/bildvisning/R0000509_00042;https://sok.riksarkivet.se/topografi/4679
4680;Skalleby;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6496150.4241;513684.9552;58.6055;15.2355;high;Norrby:85, D8:71;https://sok.riksarkivet.se/bildvisning/R0000509_00042, https://sok.riksarkivet.se/bildvisning/R0000165_00048;https://sok.riksarkivet.se/topografi/4680
4681;Kalorp;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6493960.9398;512727.6484;58.5859;15.2189;high;D8:81, Norrby:86;https://sok.riksarkivet.se/bildvisning/R0000165_00052, https://sok.riksarkivet.se/bildvisning/R0000509_00043;https://sok.riksarkivet.se/topografi/4681
4682;Brånshult;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6492541.1903;513235.6786;58.5731;15.2276;high;Norrby:78, D8:71;https://sok.riksarkivet.se/bildvisning/R0000509_00041, https://sok.riksarkivet.se/bildvisning/R0000165_00048;https://sok.riksarkivet.se/topografi/4682
4683;Svansäter;;Kristberg;Bobergs h:d;Östergötland;På HK, missing på TK. Osäker punkt för gården+Norrby:88;Finns på HK, men Ej TK. Osäker punkt för gården+Norrby:88;6492247.9733;515101.9778;58.5704;15.2596;middle;D8:82-83;https://sok.riksarkivet.se/bildvisning/R0000165_00053;https://sok.riksarkivet.se/topografi/4683
4684;Vasebo;;Kristberg;Bobergs h:d;Östergötland;;;6493430.4120;510999.1679;58.5812;15.1892;high;D8:65-66;https://sok.riksarkivet.se/bildvisning/R0000165_00045;https://sok.riksarkivet.se/topografi/4684
4685;Lilleberg;;Kristberg;Bobergs h:d;Östergötland;;;6493214.9097;511392.4372;58.5792;15.1959;high;D8:65-66;https://sok.riksarkivet.se/bildvisning/R0000165_00045;https://sok.riksarkivet.se/topografi/4685
4686;Bränntorp;;Kristberg;Bobergs h:d;Östergötland;;;6494395.4103;510795.1116;58.5898;15.1857;middle;D8:64;https://sok.riksarkivet.se/bildvisning/R0000165_00044;https://sok.riksarkivet.se/topografi/4686
4687;Gubborp;;Kristberg;Bobergs h:d;Östergötland;;;6494590.4682;511416.5799;58.5916;15.1964;high;D8:67;https://sok.riksarkivet.se/bildvisning/R0000165_00046;https://sok.riksarkivet.se/topografi/4687
4688;Dansätter;;Kristberg;Bobergs h:d;Östergötland;;Även till Brunneby socken;6491071.4123;515229.3331;58.5598;15.2617;high;D8:67;https://sok.riksarkivet.se/bildvisning/R0000165_00046;https://sok.riksarkivet.se/topografi/4688
4689;Stora Stubba;Stubba;Kristberg;Bobergs h:d;Östergötland;;;6493880.8271;513572.8529;58.5851;15.2334;high;D8:68;https://sok.riksarkivet.se/bildvisning/R0000165_00046;https://sok.riksarkivet.se/topografi/4689
4690;Lilla Stubba;Stubba;Kristberg;Bobergs h:d;Östergötland;;;6494013.0395;513334.8295;58.5863;15.2294;high;D8:68;https://sok.riksarkivet.se/bildvisning/R0000165_00046;https://sok.riksarkivet.se/topografi/4690
4691;Kvarn;;Kristberg;Bobergs h:d;Östergötland;;;6499120.9477;517449.2952;58.6321;15.3005;high;D8:69-70;https://sok.riksarkivet.se/bildvisning/R0000165_00047;https://sok.riksarkivet.se/topografi/4691
4692;Ströpla;;Kristberg;Bobergs h:d;Östergötland;;;6497172.0363;515393.3552;58.6146;15.265;high;D8:69-70;https://sok.riksarkivet.se/bildvisning/R0000165_00047;https://sok.riksarkivet.se/topografi/4692
4693;Unnekulla;Backekulla, Hunnekulla;Kristberg;Bobergs h:d;Östergötland;;;6499584.9399;518478.6327;58.6362;15.3183;high;D8:69-70;https://sok.riksarkivet.se/bildvisning/R0000165_00047;https://sok.riksarkivet.se/topografi/4693
4694;Stora Boda;Boda;Kristberg;Bobergs h:d;Östergötland;;;6500643.7035;515533.6584;58.6458;15.2676;high;D8:73;https://sok.riksarkivet.se/bildvisning/R0000165_00048;https://sok.riksarkivet.se/topografi/4694
4695;Litskvarn;;Kristberg;Bobergs h:d;Östergötland;;;6497414.5670;511230.5309;58.6169;15.1933;high;D8:76;https://sok.riksarkivet.se/bildvisning/R0000165_00050;https://sok.riksarkivet.se/topografi/4695
4696;Klämmesbol;Clämmitstorp;Kristberg;Bobergs h:d;Östergötland;;;6502881.7052;519312.8385;58.6657;15.3329;high;D8:76;https://sok.riksarkivet.se/bildvisning/R0000165_00050;https://sok.riksarkivet.se/topografi/4696
4697;Nordkärr;;Kristberg;Bobergs h:d;Östergötland;;Ej med på TK eller HK.;6500712.9304;518290.3181;58.6463;15.3151;high;D8:77;https://sok.riksarkivet.se/bildvisning/R0000165_00050;https://sok.riksarkivet.se/topografi/4697
4698;Hästbacken;;Kristberg;Bobergs h:d;Östergötland;;;6501701.1081;517184.3978;58.6552;15.2962;middle;D12:30-31, D8:77;https://sok.riksarkivet.se/bildvisning/90003006_00025, https://sok.riksarkivet.se/bildvisning/R0000165_00050;https://sok.riksarkivet.se/topografi/4698
4699;Ströplahult;;Kristberg;Bobergs h:d;Östergötland;;;6500050.2708;518394.9035;58.6404;15.3169;high;D8:74-75;https://sok.riksarkivet.se/bildvisning/R0000165_00049;https://sok.riksarkivet.se/topografi/4699
