toraid;tora_prefLabel;tora_altLabel;cadastral_unit_id;type;littera;assessment_hemmantal;parish;tora_province;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;koordinatkod;tora_source;tora_source_url;toraid_url
24;Berga;;1;skattehemman;;;Vallentuna;Uppland;6604446.7447;670271.7624;59.5436;18.012;Hög;A10:60-61;https://sok.riksarkivet.se/bildvisning/R0000150_00035;https://sok.riksarkivet.se/topografi/24
24;Berga;;2;övrig lägenhetsbebyggelse;;;Vallentuna;Uppland;6604446.7447;670271.7624;59.5436;18.012;Hög;A10:60-61;https://sok.riksarkivet.se/bildvisning/R0000150_00035;https://sok.riksarkivet.se/topografi/24
25;Sursta;;1;skattehemman;;;Vallentuna;Uppland;6604267.5854;670527.7143;59.5419;18.0164;Hög;A10:60-61;https://sok.riksarkivet.se/bildvisning/R0000150_00035;https://sok.riksarkivet.se/topografi/25
26;Mörby;;1;skattehemman;;;Vallentuna;Uppland;6604412.5161;673805.4776;59.5419;18.0744;Hög;A10:63;https://sok.riksarkivet.se/bildvisning/R0000150_00036;https://sok.riksarkivet.se/topografi/26
26;Mörby;;2;kronohemman;;;Vallentuna;Uppland;6604412.5161;673805.4776;59.5419;18.0744;Hög;A10:63;https://sok.riksarkivet.se/bildvisning/R0000150_00036;https://sok.riksarkivet.se/topografi/26
27;Västanberga;;1;ospecificerad kameral enhet;A;;Vallentuna;Uppland;6605600.0486;672872.3099;59.5529;18.0588;Hög;A10:64-65, A10:68-69;https://sok.riksarkivet.se/bildvisning/R0000150_00037, https://sok.riksarkivet.se/bildvisning/R0000150_00039;https://sok.riksarkivet.se/topografi/27
27;Västanberga;;2;utjord;F;;Vallentuna;Uppland;6605600.0486;672872.3099;59.5529;18.0588;Hög;A10:64-65, A10:68-69;https://sok.riksarkivet.se/bildvisning/R0000150_00037, https://sok.riksarkivet.se/bildvisning/R0000150_00039;https://sok.riksarkivet.se/topografi/27
28;Foderby;;3;utjord;;;Vallentuna;Uppland;6605598.9331;673667.7783;59.5526;18.0729;Hög;A10:64-65, A10:68-69;https://sok.riksarkivet.se/bildvisning/R0000150_00037, https://sok.riksarkivet.se/bildvisning/R0000150_00039;https://sok.riksarkivet.se/topografi/28
28;Foderby;;1;frälsehemman;1;;Vallentuna;Uppland;6605598.9331;673667.7783;59.5526;18.0729;Hög;A10:64-65, A10:68-69;https://sok.riksarkivet.se/bildvisning/R0000150_00037, https://sok.riksarkivet.se/bildvisning/R0000150_00039;https://sok.riksarkivet.se/topografi/28
28;Foderby;;2;frälsehemman;2;;Vallentuna;Uppland;6605598.9331;673667.7783;59.5526;18.0729;Hög;A10:64-65, A10:68-69;https://sok.riksarkivet.se/bildvisning/R0000150_00037, https://sok.riksarkivet.se/bildvisning/R0000150_00039;https://sok.riksarkivet.se/topografi/28
29;Ekeby;;1;skattehemman;D1;;Vallentuna;Uppland;6604886.7320;673276.3048;59.5463;18.0654;Hög;A10:64-65;https://sok.riksarkivet.se/bildvisning/R0000150_00037;https://sok.riksarkivet.se/topografi/29
29;Ekeby;;2;frälsehemman;D2;;Vallentuna;Uppland;6604886.7320;673276.3048;59.5463;18.0654;Hög;A10:64-65;https://sok.riksarkivet.se/bildvisning/R0000150_00037;https://sok.riksarkivet.se/topografi/29
30;Nyby;;1;ospecificerad kameral enhet;;;Vallentuna;Uppland;6605640.1603;673294.2949;59.5531;18.0663;Hög;A10:64-65, A10:68-69;https://sok.riksarkivet.se/bildvisning/R0000150_00037, https://sok.riksarkivet.se/bildvisning/R0000150_00039;https://sok.riksarkivet.se/topografi/30
31;Västlunda;;1;torp;A;;Vallentuna;Uppland;6605040.8211;672023.9283;59.5482;18.0434;Hög;A10:66;https://sok.riksarkivet.se/bildvisning/R0000150_00038;https://sok.riksarkivet.se/topografi/31
31;Västlunda;;2;torp;B;;Vallentuna;Uppland;6605040.8211;672023.9283;59.5482;18.0434;Hög;A10:66;https://sok.riksarkivet.se/bildvisning/R0000150_00038;https://sok.riksarkivet.se/topografi/31
32;Bergby;;1;skattehemman;;;Vallentuna;Uppland;6605940.1147;673631.9158;59.5556;18.0725;Hög;A10:67, A10:68-69;https://sok.riksarkivet.se/bildvisning/R0000150_00038, https://sok.riksarkivet.se/bildvisning/R0000150_00039;https://sok.riksarkivet.se/topografi/32
32;Bergby;;2;frälsehemman;;;Vallentuna;Uppland;6605940.1147;673631.9158;59.5556;18.0725;Hög;A10:67, A10:68-69;https://sok.riksarkivet.se/bildvisning/R0000150_00038, https://sok.riksarkivet.se/bildvisning/R0000150_00039;https://sok.riksarkivet.se/topografi/32
32;Bergby;;3;utjord;F;;Vallentuna;Uppland;6605940.1147;673631.9158;59.5556;18.0725;Hög;A10:67, A10:68-69;https://sok.riksarkivet.se/bildvisning/R0000150_00038, https://sok.riksarkivet.se/bildvisning/R0000150_00039;https://sok.riksarkivet.se/topografi/32
33;Ubby;;1;skattehemman;;;Vallentuna;Uppland;6606049.1408;674760.9827;59.5561;18.0926;Hög;A10:70;https://sok.riksarkivet.se/bildvisning/R0000150_00040;https://sok.riksarkivet.se/topografi/33
33;Ubby;;2;torpställe;;;Vallentuna;Uppland;6606049.1408;674760.9827;59.5561;18.0926;Hög;A10:70;https://sok.riksarkivet.se/bildvisning/R0000150_00040;https://sok.riksarkivet.se/topografi/33
34;Ormsta;;1;skattehemman;;;Vallentuna;Uppland;6604431.6168;674421.587;59.5418;18.0853;Hög;A10:71;https://sok.riksarkivet.se/bildvisning/R0000150_00040;https://sok.riksarkivet.se/topografi/34
35;Vallentuna;Vallentuna prästgård;1;prästgård;;;Vallentuna;Uppland;6603258.9632;673920.8757;59.5315;18.0755;Hög;A10:68-69, A10:72-73;https://sok.riksarkivet.se/bildvisning/R0000150_00039, https://sok.riksarkivet.se/bildvisning/R0000150_00041;https://sok.riksarkivet.se/topografi/35
36;Åby;;1;skattehemman;;;Vallentuna;Uppland;6603851.1117;674395.7865;59.5366;18.0843;Hög;A10:72-73;https://sok.riksarkivet.se/bildvisning/R0000150_00041;https://sok.riksarkivet.se/topografi/36
37;Väsby;;1;skattehemman;;;Vallentuna;Uppland;6603453.2089;673361.5781;59.5334;18.0657;Hög;A10:72-73;https://sok.riksarkivet.se/bildvisning/R0000150_00041;https://sok.riksarkivet.se/topografi/37
38;Kusta;;1;skattehemman;;;Vallentuna;Uppland;6605874.5224;678163.3946;59.5531;18.1525;Hög;A10:74;https://sok.riksarkivet.se/bildvisning/R0000150_00042;https://sok.riksarkivet.se/topografi/38
39;Säby;;1;skattehemman;;;Vallentuna;Uppland;6601707.0741;670924.0867;59.5188;18.0213;Hög;A10:76-77;https://sok.riksarkivet.se/bildvisning/R0000150_00043;https://sok.riksarkivet.se/topografi/39
39;Säby;;2;frälsehemman;;;Vallentuna;Uppland;6601707.0741;670924.0867;59.5188;18.0213;Hög;A10:76-77;https://sok.riksarkivet.se/bildvisning/R0000150_00043;https://sok.riksarkivet.se/topografi/39
40;Grävelsta;;1;skattehemman;;;Vallentuna;Uppland;6602283.3551;670831.409;59.524;18.0201;Hög;A10:76-77;https://sok.riksarkivet.se/bildvisning/R0000150_00043;https://sok.riksarkivet.se/topografi/40
41;Uthamra;;1;skattehemman;;;Vallentuna;Uppland;6601819.3965;671425.8317;59.5196;18.0302;Hög;A10:76-77;https://sok.riksarkivet.se/bildvisning/R0000150_00043;https://sok.riksarkivet.se/topografi/41
41;Uthamra;;2;frälsehemman;;;Vallentuna;Uppland;6601819.3965;671425.8317;59.5196;18.0302;Hög;A10:76-77;https://sok.riksarkivet.se/bildvisning/R0000150_00043;https://sok.riksarkivet.se/topografi/41
41;Uthamra;;3;frälsehemman;;;Vallentuna;Uppland;6601819.3965;671425.8317;59.5196;18.0302;Hög;A10:76-77;https://sok.riksarkivet.se/bildvisning/R0000150_00043;https://sok.riksarkivet.se/topografi/41
41;Uthamra;;4;torp;;;Vallentuna;Uppland;6601819.3965;671425.8317;59.5196;18.0302;Hög;A10:76-77;https://sok.riksarkivet.se/bildvisning/R0000150_00043;https://sok.riksarkivet.se/topografi/41
42;Kragsta;;1;skattehemman;;;Vallentuna;Uppland;6602352.9725;672146.0876;59.5241;18.0434;Hög;A10:75;https://sok.riksarkivet.se/bildvisning/R0000150_00042;https://sok.riksarkivet.se/topografi/42
42;Kragsta;;2;skattehemman;;;Vallentuna;Uppland;6602352.9725;672146.0876;59.5241;18.0434;Hög;A10:75;https://sok.riksarkivet.se/bildvisning/R0000150_00042;https://sok.riksarkivet.se/topografi/42
42;Kragsta;;3;frälsehemman;;;Vallentuna;Uppland;6602352.9725;672146.0876;59.5241;18.0434;Hög;A10:75;https://sok.riksarkivet.se/bildvisning/R0000150_00042;https://sok.riksarkivet.se/topografi/42
43;Rickeby;;1;ospecificerad kameral enhet;;;Vallentuna;Uppland;6603867.4516;673935.6462;59.5369;18.0762;Hög;A10:63;https://sok.riksarkivet.se/bildvisning/R0000150_00036;https://sok.riksarkivet.se/topografi/43
