id;kommentar_tora;kommentar;framförställt;namn;efterställt;kategori;kartvolym;källa_kartakt;källa_url;toraid;toraid_url;tora_bebyggelseenhet;socken;härad;landskap;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long
22886;;;;Jsättra;;bebyggelsenamn;Smedby;Smedby:26-27;;140;https://sok.riksarkivet.se/topografi/140;Isättra;Österåker;Åkers skeppslag;Uppland;6599182,441;691882,7972;59,4871;18,3888
22887;;;;Jsättra wijkan;;naturnamn;Smedby;Smedby:26-27;;140;https://sok.riksarkivet.se/topografi/140;Isättra;Österåker;Åkers skeppslag;Uppland;6599182,441;691882,7972;59,4871;18,3888
22888;;;;Järrsättra;;bebyggelsenamn;Smedby;Smedby:3;https://sok.riksarkivet.se/bildvisning/R0000506_00006;164;https://sok.riksarkivet.se/topografi/164;Järsättra;Österåker;Åkers skeppslag;Uppland;6601681,306;686603,5344;59,5119;18,2979
22889;;;;Järsättra;;bebyggelsenamn;Smedby;Smedby:Register;;164;https://sok.riksarkivet.se/topografi/164;Järsättra;Österåker;Åkers skeppslag;Uppland;6601681,306;686603,5344;59,5119;18,2979
22890;;;;Kakedragett;;bebyggelsenamn;Smedby;Smedby:1;https://sok.riksarkivet.se/bildvisning/R0000506_00005;120;https://sok.riksarkivet.se/topografi/120;Smedby;Österåker;Åkers skeppslag;Uppland;6600417,789;686253,7166;59,5007;18,2906
22891;;;;Karreby;;bebyggelsenamn;Smedby;Smedby:6-7;;;;;Össeby-Garn;Vallentuna h:d;;;;;
22892;;;;Knaborgh;;bebyggelsenamn;Smedby;Smedby:29;;142;https://sok.riksarkivet.se/topografi/142;Knaborg;Österåker;Åkers skeppslag;Uppland;6600049,9862;695044,6783;59,4934;18,4453
22893;;;;Knusarby;;bebyggelsenamn;Smedby;Smedby:47;https://sok.riksarkivet.se/bildvisning/R0000506_00027;158;https://sok.riksarkivet.se/topografi/158;Knutsarby;Österåker;Åkers skeppslag;Uppland;6606887,4622;692253,839;59,556;18,4023
22894;;;;Kåpermoran;;naturnamn, ägonamn;Smedby;Smedby:46;https://sok.riksarkivet.se/bildvisning/R0000506_00027;157;https://sok.riksarkivet.se/topografi/157;Ytterby;Österåker;Åkers skeppslag;Uppland;6606085,1071;692810,5769;59,5485;18,4114
22895;;;;Källholmen;;naturnamn, ägonamn;Smedby;Smedby:36;https://sok.riksarkivet.se/bildvisning/R0000506_00022;146;https://sok.riksarkivet.se/topografi/146;Fåglarö;Österåker;Åkers skeppslag;Uppland;6597311,7628;696351,2818;59,4683;18,4658
22896;;;;Lappedal;;bebyggelsenamn;Smedby;Smedby:2;;122;https://sok.riksarkivet.se/topografi/122;Lappdal;Österåker;Åkers skeppslag;Uppland;6601971,9395;687315,1654;59,5142;18,3107
22897;;;;Leerwijk;;bebyggelsenamn;Smedby;Smedby:Register;;168;https://sok.riksarkivet.se/topografi/168;Lervik;Österåker;Åkers skeppslag;Uppland;6595597,9504;691704,2026;59,455;18,3824
22898;;;;Leerwijkz landett;;ägonamn;Smedby;Smedby:34-35;https://sok.riksarkivet.se/bildvisning/R0000506_00021;145;https://sok.riksarkivet.se/topografi/145;Stora Älgö;Österåker;Åkers skeppslag;Uppland;6595542,5721;693138,9616;59,4539;18,4076
22899;;;;Lerwijk;;bebyggelsenamn;Smedby;Smedby:21;https://sok.riksarkivet.se/bildvisning/R0000506_00015;168;https://sok.riksarkivet.se/topografi/168;Lervik;Österåker;Åkers skeppslag;Uppland;6595597,9504;691704,2026;59,455;18,3824
22900;;;;Lilla Halgöön;;naturnamn, ägonamn;Smedby;Smedby:34-35;https://sok.riksarkivet.se/bildvisning/R0000506_00021;145;https://sok.riksarkivet.se/topografi/145;Stora Älgö;Österåker;Åkers skeppslag;Uppland;6595542,5721;693138,9616;59,4539;18,4076
22901;;;;Lille Blötholmen;;naturnamn, ägonamn;Smedby;Smedby:30-31;https://sok.riksarkivet.se/bildvisning/R0000506_00019;120;https://sok.riksarkivet.se/topografi/120;Smedby;Österåker;Åkers skeppslag;Uppland;6600417,789;686253,7166;59,5007;18,2906
22902;;;;Lille Måßön;;naturnamn, ägonamn;Smedby;Smedby:36;https://sok.riksarkivet.se/bildvisning/R0000506_00022;146;https://sok.riksarkivet.se/topografi/146;Fåglarö;Österåker;Åkers skeppslag;Uppland;6597311,7628;696351,2818;59,4683;18,4658
22903;;;;Litzleengen;;ägonamn;Smedby;Smedby:40;https://sok.riksarkivet.se/bildvisning/R0000506_00024;150;https://sok.riksarkivet.se/topografi/150;Dammbro;Österåker;Åkers skeppslag;Uppland;6604827,0895;695348,1431;59,5361;18,455
22904;;;;Liungzboda;;bebyggelsenamn;Smedby;Smedby:20;https://sok.riksarkivet.se/bildvisning/R0000506_00015;;;;Österåker;Åkers skeppslag;;;;;
22905;;;wed;Lystbärgett;;naturnamn;Smedby;Smedby:13;https://sok.riksarkivet.se/bildvisning/R0000506_00011;132;https://sok.riksarkivet.se/topografi/132;Åby;Österåker;Åkers skeppslag;Uppland;6600965,7299;688080,0883;59,5048;18,3233
22906;;;;Lång engen;;ägonamn;Smedby;Smedby:40;https://sok.riksarkivet.se/bildvisning/R0000506_00024;150;https://sok.riksarkivet.se/topografi/150;Dammbro;Österåker;Åkers skeppslag;Uppland;6604827,0895;695348,1431;59,5361;18,455
22907;;;;Långemyran;;naturnamn, ägonamn;Smedby;Smedby:1;https://sok.riksarkivet.se/bildvisning/R0000506_00005;120;https://sok.riksarkivet.se/topografi/120;Smedby;Österåker;Åkers skeppslag;Uppland;6600417,789;686253,7166;59,5007;18,2906
22908;;;;Långh holmen;;naturnamn, ägonamn;Smedby;Smedby:30-31;https://sok.riksarkivet.se/bildvisning/R0000506_00019;120;https://sok.riksarkivet.se/topografi/120;Smedby;Österåker;Åkers skeppslag;Uppland;6600417,789;686253,7166;59,5007;18,2906
