wkt_geom;id;toraid;note;coordinate_accuracy;sweref99_n;sweref99_e;wgs84_lat;wgs84_long;x_rt90;y_rt90;id_deprecated;namn_deprecated
Point (2047299.06459283665753901 8187014.3479609340429306);32231;434;;medium;6548405.18144;694605.658086;59.0306494;18.39120041;1648478.23520895;6548323.59836243;1360400002;Sundby
Point (2047728.11904054670594633 8187300.90742238238453865);32230;434;;medium;6548563.794373;694819.218274;59.03197401;18.39505467;1648693.74058443;6548479.65397916;1360400002;Sundby
Point (2047382.9516741584520787 8187133.82096029911190271);32233;434;;medium;6548468.822271;694645.755628;59.03120166;18.39195398;1648519.10691809;6548386.76373111;1360400002;Sundby
Point (2047281.65589543688111007 8187123.31106922402977943);32232;434;;medium;6548460.765179;694593.841586;59.03115308;18.39104402;1648467.08837918;6548379.33251126;1360400002;Sundby
Point (2045428.80770053598098457 8190166.08658188581466675);32237;435;;medium;6549976.957283;693560.12245;59.04521537;18.37439961;1647451.53841946;6549908.22106666;1360400003;Lättinge
Point (2047192.73542044125497341 8193734.17807511519640684);32240;436;;medium;6551856.861329;694375.377049;59.0616981;18.39024524;1648289.61615498;6551778.53852973;1360400004;Mörby
Point (2019717.16678002453409135 8201505.08235721755772829);32253;445;;medium;6555155.776671;680043.341756;59.09756827;18.14342801;1633995.33437704;6555251.11177767;1360600003;Vittorp
Point (2019882.83949408773332834 8204068.08998696506023407);32256;446;;medium;6556475.319947;680066.519281;59.10939079;18.14491627;1634034.46262388;6556570.57973173;1360600004;Ormsta
Point (2019594.64202539576217532 8201465.68894071131944656);32254;445;;medium;6555132.58474;679981.282834;59.09738653;18.14232735;1633932.98555726;6555228.66620255;1360600003;Vittorp
Point (2019677.53199502406641841 8203960.87596987374126911);32258;446;;medium;6556415.323503;679963.56374;59.10889632;18.14307196;1633930.76597912;6556511.81829969;1360600004;Ormsta
Point (2019780.53763271123170853 8204024.56694985739886761);32257;446;;medium;6556450.504994;680014.978874;59.10919006;18.14399728;1633982.6143015;6556546.38384795;1360600004;Ormsta
Point (2021481.04000567831099033 8206379.09998045582324266);32190;420;;medium;6557699.936995;680831.979452;59.12004741;18.15927315;1634814.84295554;6557786.13437438;1360100021;Husby
Point (2021523.98128744657151401 8206214.88587956037372351);32189;420;;medium;6557616.735747;680858.039849;59.11929029;18.1596589;1634839.90168372;6557702.60528042;1360100021;Husby
Point (2022539.04499324038624763 8205755.95561446808278561);32193;421;;medium;6557406.033564;681390.91434;59.11717426;18.16877737;1635370.31143037;6557485.42963613;1360100022;Broby
Point (2022576.43448060331866145 8205665.15273888874799013);32192;421;;medium;6557360.358624;681412.345399;59.11675558;18.16911324;1635391.19370386;6557439.48863445;1360100022;Broby
Point (2022517.58708042278885841 8205838.05997571721673012);32194;421;;medium;6557447.634217;681377.884143;59.11755284;18.16858461;1635357.78206628;6557527.19418311;1360100022;Broby
Point (2020101.78111556055955589 8207088.91846141591668129);32201;424;;medium;6558030.56258;680105.945495;59.12331988;18.14688305;1634092.69312148;6558125.58719274;1360100025;Solberga
Point (2022088.70403508958406746 8208864.72655817959457636);32212;426;;medium;6558989.715355;681083.77355;59.13150553;18.16473189;1635082.26701938;6559073.06792753;1360100027;Lundby
Point (2022153.36888855253346264 8208862.43620369210839272);32211;426;;medium;6558990.117591;681117.05165;59.13149497;18.16531278;1635115.55510914;6559073.06792753;1360100027;Lundby
Point (2021097.8986780303530395 8220070.43355307076126337);32119;400;;medium;6564708.169838;680302.891392;59.18311348;18.15583133;1634370.41270872;6564801.84925234;1360100001;Söderby
Point (2082519.43190543539822102 8223882.18133864738047123);32374;248;;medium;6568281.545468;711698.722932;59.20065077;18.70759035;1665813.79037346;6567995.89269239;1200400003;Långvik
Point (2019591.54956014128401875 8220260.76647298689931631);32123;401;;medium;6564769.124167;679525.551873;59.18398939;18.14229957;1633593.68951732;6564872.21532079;1360100002;Täckeråker
Point (2031475.75495843263342977 8213450.14283141307532787);32126;403;;medium;6561572.47419;685791.830273;59.1526331;18.2490572;1639822.26371809;6561599.29532971;1360100004;Korp Norrby
Point (2031519.26987285003997386 8213381.97320534382015467);32127;403;;medium;6561538.624886;685815.874909;59.1523191;18.2494481;1639845.90262662;6561565.15023962;1360100004;Korp Norrby
Point (2029918.50122389779426157 8212757.9798224288970232);32142;406;;medium;6561178.827169;685009.509911;59.14944475;18.23506815;1639035.06667184;6561215.04918138;1360100007;Nedre Hammarby
Point (2026297.00896817329339683 8212048.59856250137090683);32139;407;;medium;6560725.417253;683167.412686;59.14617679;18.20253573;1637187.20943263;6560783.8441856;1360100008;Högsta
Point (2026349.17657651985064149 8211983.0012886319309473);32138;407;;medium;6560693.077282;683195.817962;59.14587458;18.20300436;1637215.22799829;6560751.155859;1360100008;Högsta
Point (2023321.78812286863103509 8210681.08258428517729044);32143;408;;medium;6559951.237945;681672.923141;59.13987605;18.17580887;1635683.1315506;6560027.61586469;1360100009;Torstorp
Point (2024423.47485298290848732 8208974.27438810840249062);32147;409;;medium;6559103.013026;682280.600403;59.13201043;18.18570549;1636280.64716238;6559171.91449474;1360100010;Berga
Point (2024145.33628726867027581 8208974.63019568845629692);32154;411;;medium;6559096.371499;682137.698054;59.13201207;18.18320693;1636137.64268252;6559166.99951616;1360100012;Sunda
Point (2023950.77097927173599601 8208900.93615513294935226);32156;411;;medium;6559053.807626;682039.543222;59.13167242;18.18145912;1636038.95827702;6559125.6157332;1360100012;Sunda
Point (2024051.03500276803970337 8208934.57595537416636944);32155;411;;medium;6559073.517587;682090.231078;59.13182746;18.18235981;1636089.89216373;6559144.71594072;1360100012;Sunda
Point (2035713.35280504869297147 8210436.04833959694951773);32159;412;;medium;6560134.073839;688043.679846;59.13874695;18.28712419;1642057.05353939;6560133.45508342;1360100013;Väsby
Point (2078410.5513035086914897 8220792.99061383027583361);32370;247;;medium;6566583.857724;709679.666756;59.18643855;18.67067965;1663773.94902092;6566322.42911626;1200400002;Västerby
Point (2078474.41943949065171182 8220715.44812990073114634);32369;247;;medium;6566545.967934;709714.606314;59.18608173;18.67125339;1663808.43443445;6566284.11199011;1200400002;Västerby
Point (2078022.06817371654324234 8220787.2658022241666913);32372;247;;medium;6566569.956012;709480.610199;59.18641221;18.66718985;1663574.69996494;6566310.93397841;1200400002;Västerby
Point (2078219.99028123868629336 8220875.98500414378941059);32371;247;;medium;6566620.959734;709579.605565;59.18682045;18.66896781;1663674.32449293;6566360.7462424;1200400002;Västerby
Point (1833823.81581306038424373 8055633.11638312228024006);30050;4502;;medium;6476186.391516;586077.10994;58.41795025;16.47351962;1539058.85728181;6477396.52989453;5821000024;Melby
Point (1833910.13565051183104515 8055697.89746113028377295);30052;4502;;medium;6476221.312556;586121.658728;58.41825502;16.47429505;1539103.83653844;6477430.92579665;5821000024;Melby
Point (1833858.54113251413218677 8055577.23044721409678459);30051;4502;;medium;6476157.521062;586095.972119;58.41768733;16.47383156;1539077.37815219;6477367.42566965;5821000024;Melby
Point (1874132.70845469040796161 8039893.78040412254631519);30302;4462;;medium;6468455.573353;607451.837985;58.34382435;16.83562056;1560346.23355243;6469407.53117169;5820700031;Nedre Gränsö
Point (1886257.63308664853684604 8034520.3468473544344306);30316;4469;;medium;6465813.77789;613908.141917;58.31848197;16.94454062;1566772.38760845;6466687.75605622;5820700038;Missjö
Point (1833612.60832511633634567 8062317.22549836058169603);30038;4481;;medium;6479683.143231;585889.694095;58.4493826;16.47162231;1538913.33615744;6480896.44522769;5821000003;Navesta
Point (1833542.84207595861516893 8062403.82955875620245934);30037;4481;;medium;6479727.660143;585852.12812;58.44978967;16.47099559;1538876.29441669;6480941.42448432;5821000003;Navesta
Point (1833305.44635744765400887 8055502.93400385975837708);30018;4490;;medium;6476112.258308;585806.606814;58.41733778;16.46886303;1538787.39423889;6477325.62141938;5821000012;Lilla Sörby
Point (1832608.96655315672978759 8054883.71512547787278891);30019;4490;;medium;6475779.963241;585448.206047;58.41442441;16.46260644;1538424.91434726;6476997.53742988;5821000012;Lilla Sörby
Point (1849696.63176796608604491 8055393.57011034432798624);30245;4437;;medium;6476252.274423;594408.588153;58.41682325;16.61610755;1547393.26597983;6477362.50958166;5820700006;Karlstorp
Point (1849705.19279215484857559 8055267.24073191918432713);30246;4437;;medium;6476186.218056;594414.670517;58.41622889;16.61618446;1547398.55765708;6477296.36361603;5820700006;Karlstorp
Point (1880052.73204802721738815 8046052.46778759732842445);30290;4456;;medium;6471772.381996;610473.665287;58.37284782;16.88880104;1563408.52717702;6472688.90023444;5820700025;Kallsö
Point (1864962.90691165067255497 8085470.40377298463135958);30945;4344;;medium;6492173.466049;602008.574272;58.55804471;16.75324684;1555186.22592578;6493196.42776265;5812600062;Rösätter
Point (1866846.07564035919494927 8085879.54127789475023746);30946;4345;;medium;6492412.703417;602987.069201;58.55996185;16.77016363;1556167.83205565;6493423.9698844;5812600063;Håkanbäck
Point (1848431.14532641973346472 8082677.70553925540298223);31591;4349;;medium;6490500.322134;593403.92273;58.5449559;16.60473949;1546559.34249142;6491626.2148279;5812600067;Hestad
Point (1848557.97356331488117576 8082727.7170758219435811);31592;4349;;medium;6490528.00548;593469.604694;58.54519034;16.60587881;1546625.37355235;6491653.11637125;5812600067;Hestad
Point (1842663.98034020257182419 8059380.08155480027198792);30233;4435;;medium;6478252.689658;590670.258465;58.43557399;16.55293217;1543677.97938259;6479408.27200651;5820700004;Väle
Point (1889903.34848802024498582 8071605.91421633027493954);30915;4331;;medium;6485297.162805;615254.947788;58.49301652;16.97729063;1568353.15397671;6486159.446842;5812600049;Arkö
Point (1831761.36582660442218184 8186889.51164270378649235);34281;2516;;medium;6544309.910181;583515.548798;59.03007233;16.45499232;1537316.29737688;6545568.79541546;4830400020;Ramsta by
Point (1837441.61869112704880536 8184828.95163266453891993);34239;2514;;medium;6543314.195434;586468.035474;59.02054582;16.5060189;1540257.54129244;6544537.1808467;4830400018;Årby
Point (1831899.13335860823281109 8187654.25036574993282557);34283;2517;;medium;6544705.015039;583577.999574;59.03360725;16.4562299;1537383.53410946;6545963.25091323;4830400021;Åsa
Point (1818417.26786274742335081 8196148.08577031083405018);34032;2520;;medium;6548928.394245;576540.399573;59.07284461;16.33512025;1530395.03785453;6550272.73555707;4830500002;Kalsta
Point (1818411.72603166266344488 8196257.19418973568826914);34031;2520;;medium;6548984.421935;576536.424575;59.07334834;16.33507046;1530391.73838645;6550328.82651443;4830500002;Kalsta
Point (1818460.72382283420301974 8195974.5241974126547575);34034;2520;;medium;6548839.624574;576564.561278;59.07204329;16.33551062;1530418.13413109;6550183.6499189;4830500002;Kalsta
