issue_place_raw,n_charters,query_name,modern_name,qid,lat,lon,country,source,confidence,note
Korsør,7,Korsør,Korsør,Q1784816,55.3283,11.1397,Denmark,wikidata,high,
Köln,7,Köln,Cologne,Q365,50.942222,6.957778,Germany,wikidata,high,
Køge,7,Køge,Køge,Q21184,55.45,12.183333,Denmark,wikidata,high,
Lollands landsting,7,Lollands landsting,,,,,,unresolved,none,
Lunds landsting,7,Lunds landsting,,,,,,unresolved,none,
Lysgård herredsting,7,Lysgård herredsting,,,,,,unresolved,none,
Nyhus,7,Nyhus,Niehuus,Q16854910,54.82654,9.37951,Germany,wikidata,high,
Nykøbing Falster,7,Nykøbing Falster,Nykøbing Falster,Q986435,54.766667,11.883333,Denmark,wikidata,high,
Segeberg,7,Segeberg,Bad Segeberg,Q496050,53.936111,10.309722,Germany,wikidata,high,
Stegeborg,7,Stegeborg,Stegeborg Castle,Q661338,58.441389,16.598889,Sweden,wikidata,high,
Taarnborg,7,Taarnborg,Tårnborg,Q12339964,55.3459,11.1427,Denmark,wikidata,high,
Thorn,7,Thorn,Toruń,Q47554,53.0144,18.6014,Poland,wikidata,high,
Varde sysselting,7,Varde sysselting,,,,,,unresolved,none,
[Danzig],7,Danzig,Gdańsk,Q1792,54.348291,18.654023,Poland,wikidata,medium,bracketed = uncertain in source
[Sjællands landsting],7,Sjællands landsting,,,,,,unresolved,none,
Æbelholt,7,Æbelholt,,,,,,unresolved,none,
Akershus,6,Akershus,Akershus,Q50615,60.0,11.0,Norway,wikidata,high,
Benevent,6,Benevent,Benevento,Q13437,41.133333,14.783333,Italy,wikidata,high,
Doberan,6,Doberan,Bad Doberan,Q9536,54.106944,11.905278,Germany,wikidata,high,
Flakkebjerg herredsting,6,Flakkebjerg herredsting,,,,,,unresolved,none,
Foran Helsingborg,6,Foran Helsingborg,,,,,,unresolved,none,
Gudhem,6,Gudhem,Gudhem,Q1014055,58.226849,13.566736,Sweden,wikidata,high,
Heidelberg,6,Heidelberg,Heidelberg,Q2966,49.409358,8.694724,Germany,wikidata,high,
Holbo herredsting,6,Holbo herredsting,,,,,,unresolved,none,
Holstebro,6,Holstebro,Holstebro,Q27678,56.358056,8.6175,Denmark,wikidata,high,
Lindholm,6,Lindholm,Risum-Lindholm,Q28038,54.758019,8.869061,Germany,wikidata,high,
Løgum,6,Løgum,,,,,,unresolved,none,
Musse herredsting,6,Musse herredsting,,,,,,unresolved,none,
Nottingham,6,Nottingham,Nottingham,Q41262,52.955,-1.149167,United Kingdom,wikidata,high,
Prenzlau,6,Prenzlau,Prenzlau,Q537214,53.309752,13.862671,Germany,wikidata,high,
Pîtres,6,Pîtres,Pîtres,Q1072945,49.319444,1.225833,France,wikidata,high,
Ralswiek,6,Ralswiek,Ralswiek,Q658200,54.466667,13.45,Germany,wikidata,high,
Randers byting,6,Randers byting,,,,,,unresolved,none,
Rendsburg,6,Rendsburg,Rendsburg,Q490457,54.304444,9.664444,Germany,wikidata,high,
Slagelse herredsting,6,Slagelse herredsting,,,,,,unresolved,none,
Slet herredsting,6,Slet herredsting,,,,,,unresolved,none,
Tangermünde,6,Tangermünde,Tangermünde,Q498565,52.540833,11.968889,Germany,wikidata,high,
Trälleborg,6,Trälleborg,Trelleborg,Q26943,55.372346,13.181198,Sweden,wikidata,high,
Voer herredsting,6,Voer herredsting,,,,,,unresolved,none,
[Lund],6,Lund,Lund,Q2167,55.708313,13.199164,Sweden,wikidata,medium,bracketed = uncertain in source
[Roskilde],6,Roskilde,Roskilde,Q26563,55.641667,12.080833,Denmark,wikidata,medium,bracketed = uncertain in source
[Slesvig],6,Slesvig,Schleswig,Q501661,54.515278,9.569722,Germany,wikidata,medium,bracketed = uncertain in source
Åbenrå,6,Åbenrå,Aabenraa,Q154897,55.0447,9.4195,Denmark,wikidata,high,
Aabo sysselting,5,Aabo sysselting,,,,,,unresolved,none,
Aalevad,5,Aalevad,,,,,,unresolved,none,
Antvorskov,5,Antvorskov,Antvorskov,Q1783399,55.391111,11.362778,Denmark,wikidata,high,
Bygholm,5,Bygholm,Bygholm Castle,Q5004090,55.864722,9.825556,Denmark,wikidata,high,
Djurs Nørreherredsting,5,Djurs Nørreherredsting,,,,,,unresolved,none,
